BANNER "EE34 HAL terminal\r\n\r\nSoon you'll be wearing my sword like a shish kebab!\r\n> "
[0] '?'  sofar='?'
[1] '?'  sofar='??'
[2] '?'  sofar='???'
[3] '?'  sofar='????'
[4] '?'  sofar='?????'
[5] '?'  sofar='??????'
[6] '?'  sofar='???????'
[7] '?'  sofar='????????'
[8] '?'  sofar='?????????'
[9] '?'  sofar='??????????'
[10] '?'  sofar='???????????'
[11] '?'  sofar='????????????'
[12] '?'  sofar='?????????????'
[13] '?'  sofar='??????????????'
[14] '?'  sofar='???????????????'
[15] '?'  sofar='????????????????'
[16] '?'  sofar='?????????????????'
[17] '?'  sofar='??????????????????'
[18] '?'  sofar='???????????????????'
[19] '?'  sofar='????????????????????'
[20] '?'  sofar='?????????????????????'
[21] '?'  sofar='??????????????????????'
[22] '?'  sofar='???????????????????????'
[23] '?'  sofar='????????????????????????'
[24] '?'  sofar='?????????????????????????'
[25] '?'  sofar='??????????????????????????'
[26] '?'  sofar='???????????????????????????'
[27] '?'  sofar='????????????????????????????'
[28] '?'  sofar='?????????????????????????????'
[29] '?'  sofar='??????????????????????????????'
[30] '?'  sofar='???????????????????????????????'
[31] '?'  sofar='????????????????????????????????'
[32] '?'  sofar='?????????????????????????????????'
[33] '?'  sofar='??????????????????????????????????'
[34] '?'  sofar='???????????????????????????????????'
[35] '?'  sofar='????????????????????????????????????'
[36] '?'  sofar='?????????????????????????????????????'
[37] '?'  sofar='??????????????????????????????????????'
[38] '?'  sofar='???????????????????????????????????????'
[39] '?'  sofar='????????????????????????????????????????'
[40] '?'  sofar='?????????????????????????????????????????'
[41] '?'  sofar='??????????????????????????????????????????'
[42] '?'  sofar='???????????????????????????????????????????'
[43] '?'  sofar='????????????????????????????????????????????'
[44] '?'  sofar='?????????????????????????????????????????????'
[45] '?'  sofar='??????????????????????????????????????????????'
[46] '?'  sofar='???????????????????????????????????????????????'
[47] '?'  sofar='????????????????????????????????????????????????'
[48] '?'  sofar='?????????????????????????????????????????????????'
[49] '?'  sofar='??????????????????????????????????????????????????'
[50] '?'  sofar='???????????????????????????????????????????????????'
[51] '?'  sofar='????????????????????????????????????????????????????'
[52] '?'  sofar='?????????????????????????????????????????????????????'
